gene,importance
GeneID:102723666,0.0
ZBTB20-AS1,0.0
TRNP,0.0
LRRC34,0.0
PLCH1,0.0
SUCNR1,0.0
AMT,0.0
EFCAB12,0.0
HES1,0.0
LEPREL1,0.0
TPRG1-AS2,0.0
LOC388780,0.0
TRNA,0.0
TRNV,0.0
LOC102723589,0.0
CELSR3-AS1,0.0
PRSS44,0.0
CLEC3B,0.0
CST1,0.0
LOC102723588,0.0
GLYCTK-AS1,0.0
GRM2,0.0
CST4,0.0
SLC24A3,0.0
LOC102724936,0.0
TGIF2-C20orf24,0.0
LOC100130373,0.0
EPB41L1,0.0
FER1L4,0.0
MIR564,0.0
LOC102724885,0.0
LOC101926893,0.0
LOC101929687,0.0
VCAN,0.0
IL3,0.0
CHSY3,0.0
LOC102723571,0.0
LINC01170,0.0
LOC101927212,0.0
CDO1,0.0
LOC100287852,0.0
CXCL14,0.0
IL4,0.0
IL13,0.0
IL5,0.0
LOC553103,0.0
LOC102723997,0.0
LOC729080,0.0
PCDHB9,0.0
LOC102725150,0.0
VTRNA1-1,0.0
SNORA13,0.0
LOC102724841,0.0
HTR1F,0.0
LOC102724914,0.0
PTPRG-AS1,0.0
LOC101929159,0.0
LOC102724626,0.0
SIRPD,0.0
LINC01205,0.0
LOC102723407,0.0
LINC00882,0.0
LOC401052,0.0
LOC101927169,0.0
JAKMIP2-AS1,0.0
PLAC8L1,0.0
HMHB1,0.0
LOC100507387,0.0
ENTPD3-AS1,0.0
SLC22A14,0.0
LOC101927805,0.0
TIMP4,0.0
LOC102725432,0.0
FAXDC2,0.0
GGT3P,0.0
LOC101929426,0.0
CECR2,0.0
CECR5-AS1,0.0
TPTEP1,0.0
DUXAP8,0.0
TMEM191C,0.0
FAM230B,0.0
LOC101928891,0.0
MT1B,0.0
GeneID:100506454,0.0
DGCR6,0.0
HSFX2,0.0
UBE2NL,0.0
LINC00086,0.0
FAM127C,0.0
LOC101928426,0.0
SNORA69,0.0
RNU6-59P,0.0
TPTE2,0.0
SCARF2,0.0
LOC101927851,0.0
ACTA1,0.0
LOC101930466,0.0
LOC102723817,0.0
OR2L2,0.0
OR2L1P,0.0
C1orf229,0.0
LOC339529,0.0
MAP1LC3C,0.0
RPS7P5,0.0
LOC101060458,0.0
C1orf192,0.0
CASQ1,0.0
ETV3L,0.0
BGLAP,0.0
EFNA3,0.0
ADCY10,0.0
FAM78B,0.0
RGS4,0.0
